date,date,date,date,date,date,OT,OT,OT
5.18797,7.70575,44.68034,4249.43384,-0.67064,68.55606,7.075025719,2.355609148,54.99999906
5.20871,7.75895,44.60326,4246.05996,-0.71555,68.67988,7.140790468,2.37750533,54.99999906
5.22932,7.81216,44.52128,4242.66317,-0.7598,68.80495,7.212040851,2.401227936,54.99999906
5.2498,7.86537,44.43451,4239.24055,-0.80332,68.93138,7.288830026,2.426794668,54.99999906
5.27015,7.91858,44.34301,4235.78912,-0.84605,69.05926,7.371212202,2.454223573,54.99999906
5.29036,7.9718,44.24691,4232.30587,-0.88791,69.18868,7.459241919,2.48353281,54.99999906
5.31044,8.02502,44.14629,4228.78774,-0.92885,69.31974,7.552973249,2.514740382,54.99999906
5.33037,8.07825,44.04129,4225.23163,-0.96879,69.45254,7.652458921,2.547863846,54.99999906
5.35016,8.13148,43.93202,4221.63438,-1.00767,69.58719,7.75774936,2.58291999,54.99999906
5.36982,8.18471,43.81861,4217.99282,-1.04542,69.72377,7.868891639,2.619924488,54.99999906
5.38932,8.23795,43.70119,4214.30371,-1.08197,69.86241,7.985928336,2.658891514,54.99999906
5.40869,8.29119,43.57992,4210.56379,-1.11726,70.00319,8.108896304,2.69983334,54.99999906
5.4279,8.34443,43.45494,4206.76976,-1.15121,70.14622,8.23782533,2.742759882,54.99999906
5.44696,8.39767,43.32642,4202.91828,-1.18375,70.29162,8.372736711,2.787678233,54.99999906
5.46587,8.45092,43.19452,4199.00601,-1.21481,70.43947,8.513641723,2.834592145,54.99999906
5.48463,8.50416,43.05941,4195.02957,-1.24432,70.58991,8.660539992,2.883501495,54.99999906
5.50322,8.55741,42.92129,4190.98556,-1.27222,70.74302,8.813417777,2.934401706,54.99999906
5.52173,8.61063,42.78458,4186.86166,-1.22067,70.74942,8.966830035,2.98547987,0
5.54021,8.66381,42.65381,4182.64898,-1.1661,70.75584,9.114897536,3.034778512,0
5.55867,8.71694,42.52932,4178.34966,-1.10863,70.76227,9.256848472,3.082040661,0
5.5771,8.77002,42.41138,4173.9662,-1.04838,70.76872,9.391936446,3.127017808,0
5.59551,8.82305,42.3003,4169.50154,-0.98551,70.77517,9.519430309,3.169466517,0
5.61389,8.87603,42.19633,4164.95899,-0.92017,70.78164,9.638622503,3.20915121,0
5.63225,8.92895,42.09972,4160.34227,-0.85253,70.78812,9.748837529,3.245846981,0
5.65058,8.98182,42.0107,4155.65545,-0.78277,70.7946,9.849440336,3.279342391,0
5.66888,9.03464,41.92946,4150.90297,-0.71111,70.8011,9.939844487,3.30944219,0
5.68716,9.0874,41.8562,4146.08961,-0.63775,70.80761,10.01951991,3.335969888,0
5.70542,9.14011,41.79107,4141.22043,-0.56292,70.81413,10.08800004,3.358770147,0
5.72364,9.19275,41.73418,4136.30079,-0.48685,70.82066,10.14488822,3.377710903,0
5.74184,9.24534,41.68566,4131.33626,-0.40978,70.82719,10.18986321,3.392685193,0
5.76001,9.29787,41.64556,4126.33265,-0.33196,70.83374,10.22268355,3.403612629,0
5.77815,9.35034,41.61395,4121.2959,-0.25363,70.8403,10.2431909,3.410440492,0
